
[################                                  ] 33% 351-352 | [30]-[40] | 90.64 s | join = 39746 | tmass = 39746 | gaia = 159669| TOP = 50000000
[#################################                 ] 67% 351-352 | [40]-[50] | 154.63 s | join = 65122 | tmass = 65122 | gaia = 253928| TOP = 50000000
[##################################################] 100% 351-352 | [50]-[60] | 148.76 s | join = 120847 | tmass = 120847 | gaia = 248226| TOP = 50000000
[################                                  ] 33% 352-353 | [30]-[40] | 119.22 s | join = 38777 | tmass = 38777 | gaia = 153768| TOP = 50000000
[#################################                 ] 67% 352-353 | [40]-[50] | 153.72 s | join = 61497 | tmass = 61497 | gaia = 237827| TOP = 50000000
[##################################################] 100% 352-353 | [50]-[60] | 146.19 s | join = 123346 | tmass = 123346 | gaia = 257115| TOP = 50000000
[################                                  ] 33% 353-354 | [30]-[40] | 87.46 s | join = 35347 | tmass = 35347 | gaia = 145097| TOP = 50000000
[#################################                 ] 67% 353-354 | [40]-[50] | 140.46 s | join = 58477 | tmass = 58477 | gaia = 256004| TOP = 50000000
[##################################################] 100% 353-354 | [50]-[60] | 145.92 s | join = 114713 | tmass = 114713 | gaia = 254929| TOP = 50000000
[################                                  ] 33% 354-355 | [30]-[40] | 83.42 s | join = 34560 | tmass = 34560 | gaia = 141817| TOP = 50000000
[#################################                 ] 67% 354-355 | [40]-[50] | 151.48 s | join = 58360 | tmass = 58360 | gaia = 254603| TOP = 50000000
[##################################################] 100% 354-355 | [50]-[60] | 142.57 s | join = 119731 | tmass = 119731 | gaia = 231008| TOP = 50000000
[################                                  ] 33% 355-356 | [30]-[40] | 86.85 s | join = 35831 | tmass = 35831 | gaia = 143663| TOP = 50000000
[#################################                 ] 67% 355-356 | [40]-[50] | 134.09 s | join = 58219 | tmass = 58219 | gaia = 231055| TOP = 50000000
[##################################################] 100% 355-356 | [50]-[60] | 152.3 s | join = 119729 | tmass = 119729 | gaia = 266609| TOP = 50000000
[################                                  ] 33% 356-357 | [30]-[40] | 97.87 s | join = 34865 | tmass = 34865 | gaia = 142776| TOP = 50000000
[#################################                 ] 67% 356-357 | [40]-[50] | 136.27 s | join = 58296 | tmass = 58296 | gaia = 234584| TOP = 50000000
[##################################################] 100% 356-357 | [50]-[60] | 191.13 s | join = 116797 | tmass = 116797 | gaia = 346393| TOP = 50000000
[################                                  ] 33% 357-358 | [30]-[40] | 83.85 s | join = 33023 | tmass = 33023 | gaia = 138011| TOP = 50000000
[#################################                 ] 67% 357-358 | [40]-[50] | 132.74 s | join = 57858 | tmass = 57858 | gaia = 242754| TOP = 50000000
[##################################################] 100% 357-358 | [50]-[60] | 133.29 s | join = 111356 | tmass = 111356 | gaia = 212438| TOP = 50000000
[################                                  ] 33% 358-359 | [30]-[40] | 84.11 s | join = 31009 | tmass = 31009 | gaia = 133674| TOP = 50000000
[#################################                 ] 67% 358-359 | [40]-[50] | 133.74 s | join = 56207 | tmass = 56207 | gaia = 236354| TOP = 50000000
[##################################################] 100% 358-359 | [50]-[60] | 138.76 s | join = 105829 | tmass = 105829 | gaia = 239358| TOP = 50000000
[################                                  ] 33% 359-360 | [30]-[40] | 60.85 s | join = 32410 | tmass = 32410 | gaia = 99770| TOP = 50000000
[#################################                 ] 67% 359-360 | [40]-[50] | 98.19 s | join = 54523 | tmass = 54523 | gaia = 173436| TOP = 50000000
[##################################################] 100% 359-360 | [50]-[60] | 146.61 s | join = 110631 | tmass = 110631 | gaia = 223540| TOP = 50000000
